Agilent Technologies	A	Alcoa Inc	AA
Atwood Oceanics Inc	ATW	Cross A T Co	ATX
Accuride Corp	AURD.Q	Authentec Inc	AUTH
Auxilium Pharmaceuti	AUXL	Avista Corp	AVA
Aerovironment Inc	AVAV	Avalonbay Cmntys Inc	AVB
Advocat Inc	AVCA	American Vanguard Co	AVD
Avid Technology Inc	AVID	Avi Biopharma Inc	AVII
Avanir Pharmaceutica	AVNR	Aviat Networks Inc	AVNW
Avon Prods Inc	AVP	Aventine Renewable E	AVR
Avistar Communicatio	AVSR	Avnet Inc	AVT
Avatar Hlds Inc	AVTR	Avx Corp New	AVX
Avax Technologies In	AVXT	Avery Dennison Corp	AVY
Aviza Technology Inc	AVZA	Americanwest Bancorp	AWBC
Allied Wrld Assuranc	AWH	Armstrong World Inds	AWI
American Wtr Wks Co Inc	AWK	American Sts Wtr Co	AWR
Aware Inc Mass	AWRE	Avalon Hldgs Corp	AWX
Abraxas Pete Corp	AXAS	Anixter Intl Inc	AXE
Accelreight Technolo	AXK	American Axle & Mfg	AXL
American Express Co	AXP	Amrep Corp New	AXR
Axis Capital Holding	AXS	Axcess Inc	AXSI
Axesstel Inc	AXST	Axt Inc	AXTI
Allegheny Energy Inc	AYE	Acuity Brands Inc	AYI
Aircastle Ltd	AYR	Autozone Inc	AZO
Azz Inc	AZZ	Barnes Group Inc	B
Boeing Co	BA	Natus Medical Inc De	BABY
Bank Amer Corp	BAC	Einstein Noah Rest Grou	BAGL
Books-A-Million Inc	BAMM	Bancfirst Corp	BANF
Banner Corp	BANR	Bare Escentuals Inc	BARE
Bancorp Rhode Island	BARI	Basic Energy Svcs In	BAS
Baxter Intl Inc	BAX	Bay Natl Corp	BAYN
Blackboard Inc	BBBB	Bed Bath & Beyond In	BBBY
Breitburn Energy Par	BBEP	Barrett Bill Corp	BBG
Beasley Broadcast Gr	BBGI	Blockbuster Inc	BBI
Bigband Networks Inc	BBND	Bridge Cap Hldgs	BBNK
Black Box Corp Del	BBOX	Barrett Business Ser	BBSI
Bb&T Corp	BBT	Build A Bear Worksho	BBW
Bankatlantic Bancorp	BBX	Best Buy Inc	BBY
Brunswick Corp	BC	Brinks Co	BCO
Beacon Power Corp	BCON	Balchem Corp	BCPC
Bard C R Inc	BCR	Biocryst Pharmaceu	BCRX
Blue Coat Systems In	BCSI	Broadcast Intl Inc N	BCST
Belden Cdt Inc	BDC	Blue Dolphin Energy	BDCO
Bridge Bancorp Inc	BDGE	Black & Decker Mfg	BDK
Brandywine Rlty Tr	BDN	Blonder Tongue Labs	BDR
Biodelivery Sciences	BDSI	Becton Dickinson	BDX
Cardionet Inc	BEAT	Be Aerospace Inc	BEAV
Bebe Stores Inc	BEBE	Beckman Coulter Inc	BEC
Beacon Roofing Suppl	BECN	Strategic Hotel Cap	BEE
Bel Fuse Inc	BELF.B	Franklin Res Inc	BEN
Berkshire Bancorp In	BERK	Brigham Exploration	BEXP
Baldor Elec Co	BEZ	Brown Forman Dst 'b'	BF.B
Beacon Fed Bancorp Inc	BFED	Bankfinancial Corp	BFIN
Bluefly Inc	BFLY	Beach First National	BFNB
Bioform Medical Inc	BFRM	Saul Ctrs Inc	BFS
Brooklyn Federal Ban	BFSB	Bunge Limited	BG
General Cable Corp D	BGC	Bgc Partners Inc	BGCP
Big 5 Sporting Goods	BGFV	Briggs & Stratton Co	BGG
Buckeye Gp Holdings	BGH	Borders Group Inc	BGP
B & G Foods Inc New	BGS	Bar Hbr Bankshares	BHB
Benchmark Electrs In	BHE	Baker Hughes Inc	BHI
Natural Health Trend	BHIP	Berkshire Hills Banc	BHLB
Brookfield Homes Cor	BHS	Sothebys Hldgs Inc	BID
Bidz Com Inc	BIDZ	Big Lots Inc	BIG
Biogen Idec Inc	BIIB	Bio Rad Labs Inc	BIO
Bioclinica Inc	BIOC	Biodel Inc	BIOD
Biofuel Energy Corp	BIOF	Bioscript Inc	BIOS
Brookfield Infrast Part	BIP.U	Bitstream Inc	BITS
Bjs Wholesale Club I	BJ	Bioject Med Tech Inc	BJCT
Bjs Restaurants Inc	BJRI	Bj Svcs Co	BJS
Bank Of New York Mellon	BK	Burger King Hldgs In	BKC
Brookdale Sr Living	BKD	Buckle Inc	BKE
Black Hills Pwr & Lt	BKH	Buckeye Technologies	BKI
