Agilent Technologies	A	Alcoa Inc	AA
Icahn Enterprises Lp	IEP	Integrated Electrica	IESC
Idex Corp	IEX	Irwin Finl Corp	IFC
International Flav&F	IFF	Infologix Inc	IFLG
Infosonics Corp	IFON	Interface Flooring	IFSI.A
Igi Inc	IG	Igo Inc	IGOI
International Game	IGT	Igate Capital Corp	IGTE
Independence Hldg Co	IHC	Ihs Inc	IHS
Imergent Inc	IIG	Information Services	III
Insteel Inds Inc	IIIN	Interval Leisure Group	IILG
Intricon Corp	IIN	Ii Vi Inc	IIVI
Ikanos Communication	IKAN	Interleukin Genetics	ILI
Illumina Inc	ILMN	Ingram Micro Inc	IM
Inverness Med Innova	IMA	Immunogen Inc	IMGN
Ingles Mkts Inc	IMKT.A	Immtech Intl Inc	IMM
Immersion Corp	IMMR	Immunomedics Inc	IMMU
Imation Corp	IMN	Implant Sciences Cor	IMSC
Intermec Inc	IN	Internap Network Svc	INAP
Indiana Community Banco	INCB	Incyte Pharmaceutica	INCY
Independent Bk Cp Ma	INDB	United Amer Indemnit	INDM
Internet Brands Inc	INET	Informatica Corp	INFA
Infinity Pharmaceuti	INFI	Infinera Corporation	INFN
Inhibitex Inc	INHX	Interactive Intellig	ININ
Integramed Amer Inc	INMD	Inovio Biomedical Co	INO
Innotrac Corp	INOC	Innodata Corp	INOD
Interphase Corp	INPH	Intelligent Sys Corp	INS
Insmed Inc	INSM	Infospace Inc	INSP
Insituform Technolog	INSU	Insite Vision Inc	INSV
World Fuel Svcs Corp	INT	Intel Corp	INTC
Intest Corp	INTT	Intuit	INTU
Intersections Inc	INTX	Inuvo Inc	INUV
Innovative Card Tech	INVC	Scm Microsystems Inc	INVE
Innerworkings Inc	INWK	Inx Inc	INXI
Ion Geophysical Corp	IO	International Paper	IP
Inter Parfums Inc	IPAR	Ipass Inc	IPAS
Infinity Ppty & Cas	IPCC	Ipc The Hospitalist Co	IPCM
Interpublic Group Co	IPG	Ipg Photonics Corp	IPGP
Innophos Holdings In	IPHS	Intrepid Potash Inc	IPI
Imperial Inds Inc	IPII	Imperial Sugar Co Ne	IPSU
Iparty Corp	IPT	Irobot Corp	IRBT
Inland Real Estate C	IRC	Investors Real Estat	IRET
International Rectif	IRF	Iris Intl Inc	IRIS
Iridex Corp	IRIX	Iron Mtn Inc Del	IRM
Irvine Sensors Corp	IRSN	Investors Bancorp In	ISBC
International Speedw	ISCA	International Shipho	ISH
Insignia Sys Inc	ISIG	Intersil Hldg Corp	ISIL
Isis Pharmaceuticals	ISIS	Isle Of Capris Casin	ISLE
Isilon Sys Inc	ISLN	Image Sensing Sys In	ISNS
Inspire Pharmaceutic	ISPH	Isoray Inc	ISR
Intuitive Surgical I	ISRG	Innovative Solutions	ISSC
Integrated Silicon S	ISSI	Ista Pharmaceuticals	ISTA
Integral Sys Inc Md	ISYS	Gartner Group Inc Ne	IT
Itc Hldgs Corp	ITC	Investment Technolog	ITG
Iteris Inc	ITI	Investors Title Co	ITIC
Intermune Inc	ITMN	Itron Inc	ITRI
Itt Inds Inc Ind	ITT	Illinois Tool Wks In	ITW
Infogroup Inc	IUSA	Valuerich Inc	IVA
Intevac Inc	IVAC	Invacare Corp	IVC
Ivax Diagnostics Inc	IVD	Invesco Mortgage Capita	IVR
Invesco Ltd	IVZ	Iowa Telecomm Servic	IWA
Ixys Corp	IXYS	Jack In The Box Inc	JACK
Jaco Electrs Inc	JACO	Jarden Corp	JAH
Jakks Pac Inc	JAKK	Jo-Ann Stores Inc	JAS
Javelin Pharmaceutic	JAV	J Alexander Corp	JAX
Jazz Pharmaceuticals In	JAZZ	Hunt J B Trans Svcs	JBHT
Jabil Circuit Inc	JBL	Jetblue Awys Corp	JBLU
Sanfilippo John B &	JBSS	John Bean Technologies	JBT
J Crew Group Inc	JCG	Johnson Ctls Inc	JCI
J2 Global Communicat	JCOM	Jc Penney Co	JCP
Communications Sys	JCS	Jda Software Group I	JDAS
Jds Uniphase Corp	JDSU	Jacobs Engr Group In	JEC
Jefferies Group Inc	JEF	Jennifer Convs Inc	JEN
Jer Invt Tr Inc	JERT	Jefferson Bancshares	JFBI
J & J Snack Foods Co	JJSF	Henry Jack & Assoc I	JKHY
Jesup & Lamont Inc	JLI	Jones Lang Lasalle I	JLL
Jmar Inds Inc	JMAR	Jamba Inc	JMBA
Jmp Group Inc	JMP	Johnson & Johnson	JNJ
Juniper Networks	JNPR	Janus Cap Group Inc	JNS
Jones Apparel Group	JNY	General Employment	JOB
St Joe Corp	JOE	Joes Jeans Inc	JOEZ
Jos A Bank Clothiers	JOSB	Johnson Outdoors Inc	JOUT
Joy Global Inc	JOYG	J P Morgan Chase & C	JPM
James River Coal Co	JRCC	Journal Communicatio	JRN
Jones Soda Co	JSDA	Jackson Hewitt Tax S	JTX
Coffee Hldgs Inc	JVA	Wiley John & Sons In	JW.A
Nordstrom Inc	JWN	Kellogg Co	K
Arcadia Res Inc	KAD	Kadant Inc	KAI
Kaiser Aluminum Corp	KALU	Kaman Corp	KAMN
Kar Auction Svcs Inc	KAR	Kimball Intl Inc	KBAL.B
Kb Home	KBH	Kbr Inc	KBR
Kbw Inc	KBW	Kinetic Concepts Inc	KCI
Kansas City Life Ins	KCLI	Cole Kenneth Prodtns	KCP
4 Kids Entmt Inc	KDE	Kaydon Corp	KDN
Key Energy Svcs Inc	KEG	Keithley Instrs Inc	KEI
Kelly Svcs Inc	KELY.A	Kewaunee Scientific	KEQU
Keryx Biopharmaceuti	KERX	Kirby Expl Co.	KEX
Keycorp	KEY	Keynote Sys Inc	KEYN
K Fed Bancorp	KFED	Kentucky First Fed B	KFFB
Kkr Financial Hldgs Llc	KFN	Kforce Com Inc	KFRC
Kraft Foods Inc	KFT	Korn Ferry Intl	KFY
King Pharmaceuticals	KG	Kid Brands Inc	KID
Kimco Realty Corp	KIM	Kirklands Inc	KIRK
Krispy Kreme Doughnu	KKD	Kla-Tencor Corp	KLAC
Kulicke & Soffa Inds	KLIC	Kimberly Clark Corp	KMB
Kmg-B Inc	KMGB	Kinder Morgan Energy	KMP
Kinder Morgan Manage	KMR	Kennametal Inc	KMT
Carmax Inc	KMX	Kindred Healthcare I	KND
Kendle International	KNDL	Knoll Inc	KNL
Knology Inc	KNOL	Knot Inc	KNOT
Kensey Nash Corp	KNSY	Knight Transn Inc	KNX
Kenexa Corp	KNXA	Coca Cola Co	KO
Kodiak Oil & Gas Cor	KOG	Kona Grill Inc	KONA
Thermogenesis Corp	KOOL	Koppers Holdings Inc	KOP
Kopin Corp	KOPN	Kroger Co	KR
Kraton Performance Poly	KRA	Kilroy Rlty Corp	KRC
Kite Rlty Group Tr	KRG	Kearny Finl Corp	KRNY
Kronos Worldwide Inc	KRO	Kapstone Paper & Pac	KS
K Sea Transn Partner	KSP	Kohls Corp	KSS
Kansas City Southn	KSU	Ksw Inc	KSW
K-Swiss Inc	KSWS	Key Tronics Corp	KTCC
Key Technology Inc	KTEC	K Tron Intl Inc	KTII
Kratos Defense & Sec So	KTOS	K V Pharmaceutical C	KV.A
Kvh Inds Inc	KVHI	Quicksilver Resource	KWK
Quaker Chem Corp	KWR	Loews Corp	L
Labranche & Co Inc	LAB	Louisiana Bancorp Inc	LABC
Multi Color Corp	LABL	Lakes Gaming Inc	LACO
Lithia Mtrs Inc	LAD	Lakeland Inds Inc	LAKE
Lamar Advertising Co	LAMR	Lancaster Colony Cor	LANC
Magma Design Automat	LAVA	Law Enforcement Asso	LAWE
Lawson Prods Inc	LAWS	Layne Inc	LAYN
Lazard Ltd	LAZ	La Barge Inc	LB
Lakeland Bancorp Inc	LBAI	Liberty Global Inc	LBTYA
Libbey Inc	LBY	Liberty Media Cap	LCAP.A
Lca-Vision Inc	LCAV	U S Airways Group In	LCC
Lannet Inc	LCI	Lasercard Corp	LCRD
Lecroy Corp	LCRY	Lifetime Brands Inc	LCUT
Leadis Technology In	LDIS	Lydall Inc	LDL
Landauer Inc	LDR	Ladish Inc	LDSH
Leap Wireless Intl I	LEAP	Lincoln Elec Hldgs I	LECO
Lectec Corp	LECT	Market Leader Inc	LEDR
Lee Enterprises Inc	LEE	Leggett & Platt Inc	LEG
Legacy Bancorp Inc	LEGC	Lucas Energy Inc	LEI
Lennar Corp- Cl A	LEN	Lenox Group Inc	LENQ
Leapfrog Enterprises	LF	Littelfuse Inc	LFUS
Laclede Group Inc	LG	Legacy Reserves Lp	LGCY
Lodgian Inc	LGN	Ligand Pharmaceutica	LGND
Laboratory Corp Amer	LH	Lhc Group Inc	LHCG
Lasalle Hotel Pptys	LHO	Life Technologies Corp	LIFE
Lennox Intl Inc	LII	Lime Energy Co	LIME
Lincoln Edl Svcs Cor	LINC	Linn Energy Llc	LINE
Liberty Media Int	LINT.A	Fidelity Southn Corp	LION
Lionbridge Technolog	LIOX	Liz Claiborne	LIZ
La Jolla Pharmaceuti	LJPC	Lakeland Finl Corp	LKFN
Lkq Corp	LKQX	Lumber Liquidators Hldg	LL
L-3 Communications H	LLL	Limelight Networks Inc	LLNW
Linear Technology Co	LLTC	Eli Lilly & Co	LLY
Legg Mason Inc	LM	Lemaitre Vascular In	LMAT
Lmi Aerospace Inc	LMIA	Luminex Corp Del	LMNX
Lockheed Martin Corp	LMT	Lnb Bancorp Inc	LNBB
Lincoln Natl Corp In	LNC	Lance Inc	LNCE
Lincare Hldgs Inc	LNCR	Landec Corp	LNDC
Lodgenet Entmt Corp	LNET	Cheniere Energy Inc	LNG
Lindsay Mfg Co	LNN	Alliant Corp	LNT
Geeknet Inc	LNUX	Landrys Restaurants	LNY
Lorillard Inc	LO	Local Com Corp	LOCM
Logic Devices Inc	LOGC	Logmein Inc	LOGM
Lo-Jack Corp	LOJN	Looksmart Ltd	LOOK
Loopnet Inc	LOOP	Grand Canyon Ed Inc	LOPE
Loral Space & Commun	LORL	Spark Networks Inc	LOV
Lowes Cos Inc	LOW	Lapolla Inds Inc	LPAD
Life Partners Holdin	LPHI	Lifepoint Hospitals	LPNT
Lender Processing Svcs	LPS	Liveperson Inc	LPSN
Lightpath Technologi	LPTH	Louisiana Pac Corp	LPX
Liquidity Services I	LQDT	Lam Resh Corp	LRCX
K12 Inc	LRN	Liberty Ppty Tr	LRY
Lattice Semiconducto	LSCC	Capital Lease Fdg In	LSE
Lsi Logic Corp	LSI	Landstar Sys Inc	LSTR
Liberty Media Lib Star	LSTZ.A	Ltc Pptys Inc	LTC
Limited Brands Inc	LTD	Life Time Fitness In	LTM
Learning Tree Intl I	LTRE	Lantronix Inc	LTRX
Ladenburg Thalman Fi	LTS	Ltx-Credence Corp	LTXC
Lubys Inc	LUB	Lufkin Inds Inc	LUFK
Leucadia Natl Co	LUK	Luna Innovations	LUNA
Southwest Airls Co	LUV	Steinway Musical Ins	LVB
Level 3 Communicatio	LVLT	Las Vegas Sands Corp	LVS
Livewire Mobile Inc	LVWR	Lifeway Foods Inc	LWAY
Lawson Software Inc	LWSN	Lexmark Intl Inc.	LXK
Lexington Corp Pptys	LXP	Lexicon Genetics Inc	LXRX
Lsb Inds Inc	LXU	Lyris Inc	LYRI
Lsi Inds Inc	LYTS	Live Nation Inc	LYV
Lubrizol Corp	LZ	La Z Boy Inc	LZB
Emergent Group Inc N	LZR	Macys Inc.	M
Mastercard Inc	MA	Mid-Amer Apt Cmntys	MAA
Macerich Co	MAC	Mace Sec Intl Inc	MACE
Magnetek Inc	MAG	Mako Surgical Corp	MAKO
Pc Mall Inc	MALL	Maine & Maritimes Co	MAM
Manpower Inc	MAN	Manhattan Assocs Inc	MANH
Mantech Intl Corp	MANT	Map Pharmaceuticals Inc	MAPP
Marriott Intl Inc Ne	MAR	Masco Corp	MAS
Material Sciences Co	MASC	Masimo Corp	MASI
Mattel Inc	MAT	Martek Biosciences C	MATK
Matthews Intl Corp	MATW	Maxygen Inc	MAXY
Mb Financial Inc New	MBFI	Midwest Banc Holding	MBHI
Mbia Inc	MBI	Metabolix Inc	MBLX
Multiband Corp	MBND	Mercantile Bancorp I	MBR
Middleburg Financial	MBRG	Middlebrook Pharmaceuti	MBRK
Mbt Finl Corp	MBTF	Merchants Bkshrs New	MBVT
Mercantile Bank Corp	MBWM	Macatawa Bk Corp	MCBC
Monarch Community Ba	MCBF	Metrocorp Bancshares	MCBI
Mediacom Communicati	MCCC	Mcdonalds Corp	MCD
Contango Oil & Gas C	MCF	Microchip Technology	MCHP
Marchex Inc	MCHX	Mckesson Hboc Inc	MCK
Moodys Corp	MCO	Monarch Casino & Res	MCRI
Micrel Inc	MCRL	Micros Sys Inc	MCRS
Marcus Corp	MCS	Micro Component Tech	MCTI
Mercury Genl Corp Ne	MCY	Mednax Inc	MD
Medassets Inc	MDAS	M D C Corp Colo	MDC
Medical Action Ind I	MDCI	Medicines Co	MDCO
Metropolitan Health	MDF	Mhi Hospitality Corp	MDH
Meredith Corp	MDP	Mcdermott Intl	MDR
Allscripts Healthcar	MDRX	Midas Group Inc	MDS
Medidata Solutions Inc	MDSO	Medtronic Inc	MDT
Medcath Corp	MDTH	Medis Technologies L	MDTL
Mdu Res Group Inc	MDU	Medivation Inc	MDVN
Mariner Energy Inc	ME	Metalico Inc	MEA
Meade Instruments Corp	MEAD	Measurement Specialt	MEAS
Medifast Inc	MED	Medquist Inc	MEDQ
Mediware Information	MEDW	Massey Energy Corp	MEE
Media Gen Inc	MEG	Methode Electrs Inc	MEI
Electro Optical Scie	MELA	Memsic Inc	MEMS
Micrus Endovascular	MEND	Mentor Graphics Corp	MENT
Merriman Curhan Ford Gr	MERR	Merix Corp	MERX
Mesa Air Group Inc	MESA	Metlife Inc	MET
Metro Bancorp Inc Pa	METR	Mf Global Hldgs Ltd	MF
Mfa Mtg Invts Inc	MFA	Maidenform Brands In	MFB
Mcafee Inc	MFE	Microfinancial Inc	MFI
Multi Fineline Elect	MFLX	Mfri Inc	MFRI
Mutualfirst Finl Inc	MFSF	M & F Worldwide Corp	MFW
Mistras Group Inc	MG	Multimedia Games Inc	MGAM
Mge Energy Inc	MGEE	Moneygram Intl Inc	MGI
Magellan Health Svcs	MGLN	Mgm Mirage Inc	MGM
Mines Mgmt Co	MGN	Mgp Ingredients Inc	MGPI
Mcgrath Rentcorp	MGRC	Manhattan Pharmaceut	MHAN
Morgans Hotel Group	MHGC	Mastech Holdings Inc	MHH
Mohawk Inds Inc	MHK	Maiden Holdings Ltd	MHLD
M/I Homes	MHO	Mcgraw Hill Inc	MHP
Magnum Hunter Res Corp	MHR	Medco Health Solutio	MHS
Marshall & Ilsley Co	MI	Macquarie Infrastruc	MIC
Middleby Corp	MIDD	Meadowbrook Ins Grou	MIG
Mercer Ins Group Inc	MIGP	Millipore Corp	MIL
Mitcham Inds Inc	MIND	Mobile Mini	MINI
Molecular Insight Ph	MIPI	Mips Technologies In	MIPS
Mirant Corp New	MIR	Micromet Inc	MITI
Mead Johnson Nutrition	MJN	Mccormick & Co Inc	MKC
Markel Corp	MKL	Mks Instrument Inc	MKSI
Marketaxess Hldgs In	MKTX	Mechanical Technology I	MKTY
Mesa Labs Inc	MLAB	Miller Herman Inc	MLHR
Mueller Inds Inc	MLI	Martin Marietta Matl	MLM
Moduslink Global Soluti	MLNK	Maui Ld & Pineapple	MLP
Miller Inds Inc Tenn	MLR	Milestone Scientific	MLSS
Marsh & Mclennan Cos	MMC	Metalline Mining Inc	MMG
Martin Midstream Prt	MMLP	3m Co	MMM
Magellan Midstream	MMP	Meruelo Maddux Prope	MMPI.Q
Mcmoran Exploration	MMR	Mmr Information Sys Inc	MMRF
Maximus Inc	MMS	Merit Med Sys Inc	MMSI
Makemusic Inc	MMUS	Mcclatchy Newspapers	MNI
Mannkind Corp	MNKD	Medicinova Inc	MNOV
Monarch Financial Ho	MNRK	Monro Muffler Brake	MNRO
Monmouth Rl Est In S	MNRT.A	Momenta Pharmaceutic	MNTA
Mtr Gaming Group Inc	MNTG	Manitek Intl Inc	MNTX
Altria Group Inc	MO	Command Sec Corp	MOC
Mocon Inc	MOCO	Modine Mfg Co	MOD
Midwestone Finl Group I	MOFG	Moog Inc 'a'	MOG.A
Molina Healthcare In	MOH	Molex Inc	MOLX
Monsanto Co New	MON	Morningstar Inc	MORN
Mosaic Co	MOS	Mosys Inc	MOSY
Motorola Inc	MOT	Movado Group Inc	MOV
Move Inc Com	MOVE	Motorcar Parts & Acc	MPAA
Mod Pac Corp	MPAC	Magellan Pete Corp	MPET
Maguire Pptys Inc	MPG	Met Pro Corp	MPR
Medical Pptys Trust	MPW	Monolithic Pwr Sys I	MPWR
Marine Prods Corp	MPX	Mercury Computer Sys	MRCY
Merge Healthcare Inc	MRGE	Montpelier Re Holdin	MRH
Merck & Co Inc New	MRK	Marlin Business Svcs	MRLN
Merrrimac Inds Inc	MRM.Z	Mdrna Inc	MRNA
Marathon Oil Corp	MRO	Mortons Restaurant G	MRT
Marten Trans Ltd	MRTN	Mrv Communications I	MRVC
Marvell Technology G	MRVL	Medicis Pharmaceutic	MRX
Morgan Stanley	MS	Mine Safety Applianc	MSA
Microsemiconductor	MSCC	Middlesex Water Co	MSEX
Mainsource Financial	MSFG	Microsoft Corp	MSFT
Media Sciences Intl	MSII	Midsouth Bancorp	MSL
Msc Indl Direct Inc	MSM	Emerson Radio Corp	MSN
Martha Stewart Livin	MSO	Misonix Inc	MSON
Mindspeed Technologies	MSPD	Mccormick & Schmicks	MSSR
Microstrategy Inc	MSTR	Mission West Pptys I	MSW
M & T Bk Corp	MTB	Mettler Toledo Inter	MTD
Mannatech Inc	MTEX	Mgic Invt Corp Wis	MTG
Meritage Corp	MTH	Vail Resorts Inc	MTN
Medtox Scientific In	MTOX	Matrix Svc Co	MTRX
Mts Sys Corp	MTSC	Mattson Technology I	MTSN
Manitowoc Inc	MTW	Minerals Technologie	MTX
Matrixx Initiatives	MTXX	Mastec Inc	MTZ
Micron Technology In	MU	Murphy Oil Corp	MUR
Microvision Inc Wash	MVIS	Mens Wearhouse Inc	MW
Mueller Wtr Prods In	MWA	Markwest Energy Part	MWE
Mwi Veterinary Suppl	MWIV	Meadwestvaco Corp	MWV
Monster Worldwide In	MWW	Msci Inc	MXB
Mexco Energy Corp	MXC	Max Re Capital Ltd H	MXGL
Maxim Integrated Pro	MXIM	Maxwell Technologies	MXWL
Myers Inds Inc	MYE	Myriad Genetics Inc	MYGN
Mylan Labs Inc	MYL	Myr Group Inc Del	MYRG
Myriad Pharmaceuticals	MYRX	Netsuite Inc	N
Nabi Biopharmaceutic	NABI	National Dentex Corp	NADX
Nash Finch Co	NAFC	Natural Alternatives	NAII
Newalliance Bancshar	NAL	Nanometrics Inc	NANO
Nanophase Tchnologie	NANX	Nara Bancorp Inc	NARA
Nasb Finl Inc	NASB	North Amern Scientific	NASM
Nathans Famous Inc N	NATH	National Instrs Corp	NATI
National Interstate	NATL	Navistar Intl Corp N	NAV
Navigators Group Inc	NAVG	Navisite Inc	NAVI
Navarre Corp	NAVR	Newbridge Bancorp	NBBC
Nova Biosource Fuels	NBF	Neurocrine Bioscienc	NBIX
Noble Energy Inc	NBL	Nabors Industries Lt	NBR
Neostem Inc	NBS	Nbt Bancorp Inc	NBTB
Novabay Pharmaceuticals	NBY	Nacco Inds Inc	NC
Navigant Consulting	NCI	Nci Inc	NCIT
National Cinemedia I	NCMI	National Coal Corp	NCOC
Ncr Corp New	NCR	Nci Building Sys Inc	NCS
Newcastle Invt Corp	NCT	Nasdaq Stock Martket	NDAQ
99 Cents Only Stores	NDN	Nordson Corp	NDSN
New England Bancshar	NEBS	Newmont Mng Corp Hld	NEM
Network Engines Inc	NENG	Neogen Corp	NEOG
Neomedia Technologie	NEOM	Neoprobe Corp	NEOP
Nephros Inc	NEPH	Nestor Inc	NEST
Netlogic Microsystem	NETL	Newmarket Corp	NEU
Newport Corp	NEWP	Newstar Financial In	NEWS
Newtek Cap Inc	NEWT	Nexmed Inc	NEXM
Nexxus Lighting Inc	NEXS	Northfield Bancorp Inc	NFBK
National Fuel Gas Co	NFG	Netflix Com Inc	NFLX
National Finl Partne	NFP	Newfield Expl Co	NFX
North Amern Galvanzn	NGA	Ngas Resources Inc	NGAS
New Generation Biofuels	NGBF	Nanogen Inc	NGEN
Targa Resources Part	NGLS	Natural Gas Services	NGS
Neurogesx Inc	NGSX	National Healthcare	NHC
National Health Invs	NHI	Nationwide Health Pp	NHP
New Hampshire Thrift	NHTB	Nighthawk Radiology	NHWK
Nisource Inc	NI	Nii Hldgs Inc	NIHD
Blue Nile Inc	NILE	Knight Capital Group	NITE
New Jersey Res	NJR	Nike Inc	NKE
National Bankshares	NKSH	Nektar Therapeutics	NKTR
Nl Inds Inc	NL	Nalco Holding Compan	NLC
Nobel Learning Cmnty	NLCI	Nautilus Group Inc	NLS
Netlist Inc	NLST	Nile Therapeutics Inc	NLTX
Annaly Mtg Mgmt Inc	NLY	Navios Maritime Partner	NMM
Numerex Corp N Y	NMRX	Nmt Med Inc	NMTI
Nn Inc	NNBR	Nelnet Inc	NNI
National Retail Prop	NNN	Northrop Corp	NOC
Northern Oil & Gas Inc	NOG	Micronetics Wireless	NOIZ
New Frontier Media I	NOOF	National-Oilwell Inc	NOV
Novamed Eyecare Inc	NOVA	North Valley Bancorp	NOVB
Novell Inc	NOVL	Neenah Paper Inc	NP
Natl Penn Bancshares	NPBC	National Presto Inds	NPK
Inplay Technologies	NPLA	Enpro Inds Inc	NPO
Nps Pharmaceuticals	NPSP	Newpark Res Inc	NR
National Research Co	NRCI	Northstar Rlty Fin C	NRF
Nrg Energy Inc	NRG	Inergy Hldgs L P	NRGP
Inergy L P	NRGY	Northrim Bancorp Inc	NRIM
Natural Resource Par	NRP	Nustar Energy Lp	NS
Norfolk Southern Cor	NSC	Northern Sts Finl Co	NSFC
Nustar Gp Holdings Llc	NSH	Insight Enterprises	NSIT
National Semiconduct	NSM	Nanosphere Inc	NSPH
Neustar Inc	NSR	Napco Sec Sys Inc	NSSC
Nstar	NST	Netapp Inc	NTAP
Netscout Sys Inc	NTCT	Netgear Inc	NTGR
Northern Tech Intl C	NTIC	Neurobiologial Tech Inc	NTII
Ntelos Hldgs Corp	NTLS	Ntn Communications I	NTN
Nutri Sys Inc New	NTRI	Northern Tr Corp	NTRS
National Technical	NTSC	Netsol Technologies	NTWK
Nbty Inc	NTY	Northeast Utils	NU
Nuance Communication	NUAN	Nucor Corp	NUE
Nu Horizons Electrs	NUHC	Neurometrix Inc	NURO
Nu Skin Enterprises	NUS	Nutraceutical Intl C	NUTR
Nuvasive Inc	NUVA	Novavax Inc	NVAX
Nvidia Corp	NVDA	Novadel Pharma Inc	NVDL
Nv Energy Inc	NVE	Nve Corp	NVEC
N-Viro Intl Corp	NVIC	Novellus Sys Inc	NVLS
Nvr Inc	NVR	Novatel Wireless Inc	NVTL
Northwest Bancshares In	NWBI	Northwest Biotherapeuti	NWBO
Northwestern Corp	NWE	Norwood Financial Co	NWFL
Network Equip Techno	NWK	Newell Rubbermaid In	NWL
National Westn Lfe	NWLI	Northwest Nat Gas Co	NWN
Northwest Pipe Co	NWPX	News Corp Ltd	NWSA
New York & Co Inc	NWY	Quanex Building Product	NX
Nexstar Broadcasting	NXST	Nxstage Medical Inc	NXTM
Nutrition 21 Inc	NXXI	New York Cmnty Banco	NYB
Nyer Med Group Inc	NYER	Nymagic Inc	NYM
New York Mtg Tr Inc	NYMT	Empire Resorts Inc	NYNY
New York Times Co	NYT	Nyse Euronext	NYX
Realty Income Corp	O	Onebeacon Insurance	OB
Ocean Bio Chem Inc	OBCI	Owens Corning New	OC
Optical Cable Corp	OCCF	Oceanfirst Finl Corp	OCFC
Oclaro Inc	OCLR	Oculus Innovative Sc	OCLS
Ocwen Finl Corp	OCN	Oceanfreight Inc	OCNF
Occam Networks Inc	OCNW	Omnicare Inc	OCR
Oil Dri Corp Amer	ODC	Old Dominion Fght Li	ODFL
Office Depot Inc	ODP	Odyssey Healthcare I	ODSY
Orient-Express Hotel	OEH	Orion Energy Systems In	OESX
Corporate Office Ppt	OFC	Oriental Finl Group	OFG
Overhill Farms Inc	OFI	Orthofix Intl N V	OFIX
Omega Flex Inc	OFLX	Oge Energy Corp	OGE
Oncogenex Pharmaceutica	OGXI	Orleans Homebulders	OHB
Omega Healthcare Inv	OHI	Owens Ill Inc	OI
O I Corp	OICO	Oceaneering Intl Inc	OII
Oil Sts Intl Inc	OIS	Oneok Inc New	OKE
Oneok Partners Lp	OKS	Southwest Bancorp In	OKSB
Olin Corp	OLN	One Liberty Fireston	OLP
Omnicom Group	OMC	Omnicell Inc	OMCL
Omega Protein Corp	OME	Omeros Corp	OMER
Odyssey Marine Explo	OMEX	Om Group Inc	OMG
Owens & Minor Inc Ne	OMI	Omnova Solutions Inc	OMN
Omni Energy Services	OMNI	Obagi Medical Produc	OMPI
Officemax Inc Del	OMX	Old Natl Bancp Ind	ONB
On Semiconductor Cor	ONNN	Onstream Media Corp	ONSM
On2 Com Inc	ONT	Onvia Com Inc	ONVI
Onyx Pharmaceuticals	ONXX	Opentable Inc	OPEN
Opko Health Inc	OPK	Oplink Communication	OPLK
Opnet Technologies I	OPNT	Old Point Finl Corp	OPOF
Optelecom Inc	OPTC	Optimer Pharmaceutic	OPTR
Ocean Pwr Technologies	OPTT	Opentv Corp	OPTV
Openwave Sys Inc	OPWV	Opexa Therapeutics I	OPXA
Opnext Inc	OPXT	Ormat Technologies I	ORA
Orbital Sciences Cor	ORB	Orbcomm Inc	ORBC
Orbit Intl Corp	ORBT	Online Res & Communi	ORCC
Orchard Enterprises Inc	ORCD	Orchid Cellmark Inc	ORCH
Oracle Systems Corp	ORCL	Orexigen Therapeutics I	OREX
Old Rep Intl Corp	ORI	Oritani Finl Corp	ORIT
O Reilly Automotive	ORLY	Orion Marine Group Inc	ORN
Ore Pharmaceutical Hldg	ORXE	Old Second Bancorp I	OSBC
Oscient Pharmaceutic	OSCI	Overseas Shipholdng	OSG
Osi Pharmaceuticals	OSIP	Osiris Therapeutics	OSIR
Osi Systems Inc	OSIS	Oshkosh Truck Corp	OSK
Osteotech Inc	OSTE	Overstock Com Inc De	OSTK
Orasure Technologies	OSUR	Otix Global Inc	OTIX
Otter Tail Corp	OTTR	Outdoor Channel Hldg	OUTD
Overland Storage Inc	OVRL	Omnivision Technolog	OVTI
Orbitz Worldwide Inc	OWW	Oxigene Inc	OXGN
Oxford Inds Inc	OXM	Optionsxpress Hldgs	OXPS
Occidental Pete Corp	OXY	Oyo Geospace Corp	OYOG
Och Ziff Cap Mgmt Group	OZM	Bank Of The Ozarks I	OZRK
Plains All Amern Pip	PAA	Pab Bankshares Inc	PABK
Pacer Intl Inc Tenn	PACR	Pacwest Bancorp Del	PACW
Paetec Holding Corp	PAET	Penske Automotive Grp I	PAG
Palm Inc New	PALM	Panacos Pharmaceutic	PANC
Universal Display Co	PANL	3par Inc	PAR
Poniard Pharmaceutic	PARD	Parlux Fragrances In	PARL
Pepsiamericas Inc	PAS	Patrick Inds Inc	PATK
Patriot Transn Hldg	PATR	Verifone Hldgs Inc	PAY
Paychex Inc	PAYX	Pamrapo Bancorp Inc	PBCI
Peoples United Financia	PBCT	Pepsi-Cola Bottling	PBG
Prestige Brands Hldg	PBH	Pitney Bowes Inc	PBI
Porter Bancorp Inc	PBIB	Pressure Biosciences	PBIO
Prudential Bancorp I	PBIP	Provident New York B	PBNY
Pep Boys Manny Moe&J	PBY	Paccar Inc	PCAR
Pacific Cap Bancorp	PCBC	Pacific Continental	PCBK
Pmc Coml Tr	PCC	P C Connection	PCCC
Pg&E Corp	PCG	Potlatch Corp New	PCH
Plum Creek Timber Co	PCL	Priceline Com Inc	PCLN
Precision Castparts	PCP	Metropcs Communicati	PCS
Pc-Tel Inc	PCTI	Southern Copper Corp	PCU
Patriot Coal Corp	PCX	Pharmacyclics Inc	PCYC
